id_indicateur;nom_famille;Nom_theme;groupe;nom_indicateur;description_indicateur_utilisateur;objectif_INFO;objectif_AMC;Analyse_multicriteres
106;Enjeu;Enjeux Environnementaux;Zone naturelle;Occupation sol (couvert forestier);"Mesure la superficie des intersections avec des zones de couverture forestière non perturbée et dégradée. La donnée est basée sur la ""Cartographie des surfaces forestières"" (TMF) décrivant l'étendue de la forêt tropicale humide sans distinction des classes dynamiques.";Informer sur la couverture forestière afin de caractériser le niveau de protection naturelle.;Évaluer le rôle protecteur de la forêt sur la ressource en eau, une faible couverture augmentant la criticité.;oui
100;Enjeu;Enjeux Environnementaux;Zones protégés ;Zones UNESCO;Mesure la superficie des intersections avec les zones inscrites au patrimoine mondial de l'UNESCO. L'indicateur exploite la couche du CEN décrivant les zones terrestres tampons qui alimentent les zones marines classées au patrimoine mondial.;Informer sur la présence de zones inscrites au patrimoine mondial de l’UNESCO dans le bassin versant afin de caractériser les enjeux environnementaux, patrimoniaux et les opportunités de valorisation et de financement associées.;Évaluer l’effet de la présence de zones UNESCO sur la ressource en eau en termes de préservation du milieu et de potentiel d’accès à des financements internationaux, une forte couverture pouvant réduire la criticité environnementale tout en augmentant l’intérêt stratégique du captage.;oui
101;Enjeu;Enjeux Environnementaux;Zones protégés ;Zones protégées provinciales;Mesure la superficie des intersections avec les parcs et réserves provinciales en Nouvelle-Calédonie. La donnée compile les fichiers des Aires Protégées produits par les trois provinces (Sud, Nord, Îles) pour identifier les périmètres de conservation du milieu naturel.;Informer sur la présence de zones protégées provinciales afin de caractériser le niveau de protection environnementale du bassin versant ainsi que les opportunités de gestion et de financement associées.;Évaluer l’effet des dispositifs de protection réglementaire sur la préservation de la ressource en eau et sur le potentiel de mobilisation de financements, une forte présence contribuant à réduire la criticité liée aux pressions et à renforcer l’intérêt stratégique du territoire.;oui
102;Enjeu;Enjeux Environnementaux;Zones protégés ;KBA / ZICO;"Mesure la superficie des intersections avec les zones d'intérêt biologique et de biodiversité spécifique. Cet indicateur est issu de la ressource ""Zones clés de biodiversité"" du CEN, s'appuyant sur les standards internationaux de l'UICN pour localiser les zones d'intérêt majeur.";Informer sur la présence de zones à forte valeur écologique reconnues internationalement (KBA/ZICO) afin de caractériser les enjeux de biodiversité et les opportunités de financement associées.;Évaluer le rôle de ces zones dans la préservation de la ressource en eau et dans l’accès à des dispositifs de financement environnementaux, une forte présence pouvant réduire la criticité écologique tout en augmentant l’intérêt stratégique du bassin versant.;oui
104;Enjeu;Enjeux Environnementaux;Zones protégés ;Espèces rares et menacées dont forêt sèche;"Mesure la superficie des intersections des patchs de forêt sèche additionnée aux zones potentielles de présence d’espèces rares et menacées. L'indicateur fusionne les données ""Espèces rares"" d'Endemia et les ""Indices de vulnérabilité de la forêt sèche"" du CEN pour cartographier les écosystèmes fragiles.";Informer sur la présence d’écosystèmes sensibles afin de caractériser les enjeux écologiques du territoire.;Évaluer le rôle des milieux sensibles dans la protection de la ressource en eau, une forte présence réduisant la criticité.;oui
107;Menace;MENACES ANTHROPIQUES;Activités à risque ;Occupation sol (surfaces agricoles);Mesure la superficie des intersections avec des zones agricoles par type, incluant les terres arables, agropastorales ou la sylviculture. L'indicateur utilise le Mode d'Occupation du Sol (MOS 2014) de l'OEIL et du Gouvernement pour décrire les classes d'emprise humaine.;Informer sur l’emprise agricole du territoire afin de caractériser les usages du sol.;Évaluer les pressions diffuses exercées sur la ressource en eau, une forte emprise agricole augmentant la criticité.;oui
300;Menace;MENACES ANTHROPIQUES;Activités à risque ;ICPE;Dénombre les sites d'Installations Classées pour la Protection de l'Environnement, incluant les sites industriels, agricoles ou les stations de traitement. L'indicateur compile les bases ICPE de la DIMENC et des provinces Sud, Nord et Îles Loyauté.;Informer sur la présence d’activités à risque afin de caractériser les sources potentielles de pollution.;Évaluer les pressions industrielles sur la ressource en eau, une forte densité augmentant la criticité.;oui
301;Menace;MENACES ANTHROPIQUES;Activités à risque ;Zone d’exploitation minière;"Mesure la surface occupée par les activités minières, définie par les autorisations d'exploiter ou estimée via le MOS 2014. La donnée est issue de la ressource ""Exploitation minière"" de la DIMENC localisant les centres miniers et usines métallurgiques actifs.";Informer sur l’emprise minière afin de caractériser les activités extractives.;Évaluer les pressions fortes sur la ressource en eau, une emprise élevée augmentant la criticité.;oui
308;Menace;MENACES ANTHROPIQUES;Activités à risque ;Autres IOTA;Dénombre les installations, ouvrages ou activités (cultures hors sols, dépotoirs) potentiellement impactants mais non soumis à autorisation classique. Cet indicateur utilise les inventaires techniques de terrain pour identifier les pratiques non référencées par ailleurs.;Informer sur la présence d’activités non réglementées afin de caractériser les pressions diffuses.;Évaluer les pressions non contrôlées sur la ressource en eau.;oui
302;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Urbanisation;"Dénombre les bâtiments présents sur l'aire d'alimentation de la ressource en eau. Utilisant la ressource ""Localités et zones bâties"" de la DITTT, cet indicateur s'appuie sur la couche géographique des villes, lieux-dits et tribus au 1/50 000e.";Informer sur la présence de zones urbanisées afin de caractériser l’occupation du sol.;Évaluer l’artificialisation et ses impacts sur la ressource en eau.;oui
304;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Habitations;"Dénombre le nombre de logements (résidences principales et secondaires) sur l'aire d'alimentation. L'indicateur exploite la ""Typologie de l'habitat"" de l'ISEE, issue du croisement entre le recensement et les zones bâties de la BDTOPO.";Informer sur la densité d’habitat afin de caractériser les pressions humaines.;Évaluer la pression liée à la densité humaine sur la ressource en eau.;oui
305;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Franchissements;"Dénombre les ouvrages de franchissement (ponts, radiers) situés sur l'aire d'alimentation, chaque pont, buse ou gué est un point où une pollution routière (hydrocarbures, transport de matières dangereuses) peut entrer directement dans le cours d'eau en amont d'un captage. La donnée croise le ""Réseau routier"" de la DITTT et les inventaires de la DAVAR pour identifier les points de contact avec le réseau hydrographique.";Informer sur la présence d’ouvrages de franchissement afin de caractériser les points de contact avec le réseau hydrographique.;Évaluer les points de vulnérabilité pouvant impacter la ressource en eau.;oui
306;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Linéaire routes;"Mesure le linéaire total de voiries par type (RT, RP, RC, pistes) intersectant l'aire d'alimentation. Cet indicateur est basé sur la ressource ""BDROUTE-NC"" de la DITTT décrivant l'ensemble des voies de transport du territoire.";Informer sur le réseau routier afin de caractériser les infrastructures de transport.;Évaluer les pressions liées aux infrastructures sur la ressource en eau.;oui
307;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Plan d’Urbanisme Directeur;Mesure la superficie des intersections avec les zones de type d’occupation et les dynamiques d’aménagement futur (zones urbaines, agricoles, naturelles). L'indicateur s'appuie sur les PUD communaux gérés par les provinces définissant les règles d'utilisation du sol.;Informer sur les dynamiques d’aménagement du territoire afin de caractériser les évolutions futures.;;non
503;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Nombre de prélèvement AODPE;"Dénombre les points de prélèvements d’eau officiellement autorisés situés en amont de la ressource. Cet indicateur utilise la base ""AODPE"" de la DAVAR centralisant les données administratives des autorisations de prélèvement.";Informer sur le nombre de prélèvements autorisés afin de caractériser les usages.;;non
504;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Volume des prélèvements AODPE;"Calcule le volume total des autorisations de prélèvement d'eau journalières situées en amont de la ressource. Basé sur la ressource ""AODPE"" de la DAVAR, cet indicateur cumule les volumes d'eau autorisés par les arrêtés administratifs.";Informer sur les volumes prélevés afin de caractériser l’intensité des usages.;Évaluer la pression quantitative sur la ressource en eau.;oui
200;Menace;MENACES NATURELLES;Perturbations environnementales ;Incendies cumulés;"Mesure la surface totale touchée par les incendies ces dernières années. Cet indicateur exploite la ressource ""Zones potentiellement brûlées"" de l'OEIL, issue des détections quotidiennes des capteurs satellitaires VIIRS depuis 2012.";Informer sur l’historique des incendies afin de caractériser les perturbations du milieu.;Évaluer l’impact des incendies sur la dégradation de la ressource en eau, une forte surface brûlée augmentant la criticité.;oui
201;Menace;MENACES NATURELLES;Perturbations environnementales ;Surface érosion;"Identifie la surface des zones où le sol est abîmé ou fragile. L'indicateur s'appuie sur la ""Cartographie des formes érosives"" de l'OEIL décrivant les zones de sols dégradés identifiées par imagerie très haute résolution (Province Sud).";Informer sur les zones érodées afin de caractériser la dégradation des sols.;;non
202;Menace;MENACES NATURELLES;Perturbations environnementales ;Terrain nu;Mesure la superficie de terrain sans végétation intersectant l'aire d'alimentation, en excluant les zones d'exploitations minières. La donnée utilise le MOS 2014 (OEIL/GOUV) ou le flux Dynamic World pour identifier les surfaces minérales ou dévégétalisées.;Informer sur la présence de surfaces dévégétalisées afin de caractériser la dégradation du milieu.;Évaluer les transferts de polluants et sédiments vers la ressource en eau, une forte présence augmentant la criticité.;oui
204;Menace;MENACES NATURELLES;Perturbations environnementales ;Espèces exotiques envahissantes (EEE);Estimation de la présence de cerfs et de cochons basée sur le comptage des mâchoires. Cet indicateur se base sur les données de l'ANCB, utilisant les bilans régionalisés par commune et les résultats des campagnes de régularisation de la faune.;Informer sur la présence d’espèces envahissantes afin de caractériser les perturbations écologiques.;Évaluer la pression écologique exercée sur la ressource en eau.;oui
203;Menace;MENACES NATURELLES;Sensibilité naturelle;Glissement terrain;"Identifie les zones exposées aux glissements de terrain par la répartition des surfaces d'aléa. L'indicateur mobilise la ""Compilation des cartographies d'aléa mouvement de terrain"" de la DIMENC décrivant les niveaux d'aléa de très faible à élevé.";Informer sur les zones à risque de glissement afin de caractériser l’instabilité du terrain.;Évaluer les perturbations potentielles de la ressource en eau liées à l’instabilité des sols.;oui
401;Menace;MENACES NATURELLES;Sensibilité naturelle;Géologie;"Répartition des surfaces géologiques définissant les propriétés des sols (infiltrant, intermédiaire ou ruisselant). L'indicateur est basé sur la ""Géologie au 1/200 000e"" de la DIMENC et du BRGM décrivant les formations rocheuses et arcs structuraux.";Informer sur les propriétés géologiques des sols afin de caractériser leur comportement hydrologique.;;non
402;Menace;MENACES NATURELLES;Sensibilité naturelle;Vulnérabilité intrinsèque des eaux souterraines;"Mesure le niveau de sensibilité naturelle du terrain à laisser passer l'eau via les aquifères. L'indicateur utilise la base ""BDLISA-NC"" de la DIMENC décrivant les limites et les caractéristiques hydrogéologiques des formations aquifères.";Informer sur la sensibilité naturelle des aquifères.;Évaluer la vulnérabilité de la ressource en eau aux infiltrations et contaminations.;oui
500;Menace;MENACES NATURELLES;Sensibilité naturelle;BBR;"Bilan Besoin Ressource calculant l'écart entre l'eau disponible et les besoins en fonction de la population et de la capacité de production. Issu du ""Bilan Besoin Ressource"" de la DAVAR, il soustrait les prélèvements autorisés aux débits d'étiage médian (DCE2).";Informer sur l’équilibre entre ressource disponible et besoins.;Évaluer les tensions sur la ressource en eau, un déficit augmentant fortement la criticité.;oui
501;Menace;MENACES NATURELLES;Sensibilité naturelle;Pluviométrie;Mesure la quantité de pluie moyenne reçue sur l'aire d'alimentation de la ressource. Cet indicateur exploite les données des stations de Météo France NC fournissant les mesures de précipitations moyennes sur le territoire.;Informer sur les apports en eau liés aux précipitations.;;non
