id_ressource;nom_ressource;origine;distributeur;url;statut_disponibilite;couverture_spatiale;actualisation;type_source;description_ressource;documentation_ressource;contraintes_ressource
114;Installations Classées pour la Protection de l'Environnement;DIMENC;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/c2e17ea9c2e84b158ff02c7b0f46fdc7;Disponible;Nouvelle-calédonie;inconnu;vecteur;Peut être une compilation nécessaire avec les données des Provinces;;Données dispersées entre plusieurs acteurs, absence de base consolidée et typologie homogène.
115;Installations Classées pour la Protection de l'Environnement de la Province Sud;PSUD;PSUD;https://www.province-sud.nc/open/metadonnees/8a8186dd9816d2da019c8d998c7d00a5;Disponible;Province Sud;Quotidienne ;vecteur;Une Installation Classée pour la Protection de l’Environnement (ICPE) est une activité fixe à caractère industriel ou agricole susceptible de provoquer des pollutions, des nuisances ou des risques, notamment pour la sécurité, la santé des riverains et/ou l’environnement.;https://www.province-sud.nc/environnement/risques-et-menaces/icpe/;Données dispersées entre plusieurs acteurs, absence de base consolidée et typologie homogène.
116;Installations Classées pour la Protection de l'Environnement de la Province Nord;PNORD;PNORD;à identifier;A vérifier;Province Nord;inconnu;vecteur;Une Installation Classée pour la Protection de l’Environnement (ICPE) est une activité fixe à caractère industriel ou agricole susceptible de provoquer des pollutions, des nuisances ou des risques, notamment pour la sécurité, la santé des riverains et/ou l’environnement.;;Données dispersées entre plusieurs acteurs, absence de base consolidée et typologie homogène.
117;Installations Classées pour la Protection de l'Environnement de la Province des Iles;PIL;PIL;à identifier;A vérifier;Province des Iles;inconnu;vecteur;Une Installation Classée pour la Protection de l’Environnement (ICPE) est une activité fixe à caractère industriel ou agricole susceptible de provoquer des pollutions, des nuisances ou des risques, notamment pour la sécurité, la santé des riverains et/ou l’environnement.;;Données dispersées entre plusieurs acteurs, absence de base consolidée et typologie homogène.
118;Exploitation minière en Nouvelle-Calédonie : centres miniers et usines métallurgiques;DIMENC;GEOREP;https://dtsi-sgt.maps.arcgis.com/home/item.html?id=4e485fd6879142d9b52fe1bcea0c2cb1;Disponible;Nouvelle-calédonie;inconnu;vecteur;Centre minier et usine métallurgique (peut être fusionner avec les ICPE aussi ?);;Accès aux données limité (données sensibles ou non publiques).
119;cadastre minier actif (concessions, permis de recherches et réserves techniques provinciales) et échu;DIMENC;GEOREP;https://dtsi-sgt.maps.arcgis.com/home/item.html?id=e70295d0f4994702ad2d64e6c4156377;Disponible;Nouvelle-calédonie;inconnu;vecteur;Cadastre des exploitations minière avec statu réglementaire;;Accès aux données limité (données sensibles ou non publiques).
120;Localités et zones bâties;DITTT;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/10e4a961853245a38e6fb3e109f2b7d5;Disponible;Nouvelle-calédonie;inconnu;vecteur;Couche des  localités et zones bâties : Villes, lieux-dits, tribus – échelle 1/50 000 – mise à jour 2022. possibilité d’obtenir la surface du bâti associé et d’un nombre d’habitant (approximatif);;Dépendance à la qualité et à l’actualisation de la BD TOPO.
129;BDTOPO-NC;DITTT;DITTT;Sur convention;Disponible;Nouvelle-calédonie;annuelle;vecteur;Données brutes de la BDTOPO. Superficie par typologie de bâti. Disponible de la données sur commande.;;"Données incomplètes hors routes classées ; les pistes non classées sont parfois absentes, ce qui peut sous-estimer la pression sur le réseau hydrographique."
121;Réseau routier BDROUTE-NC;DITTT;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/d3915082450a4405bb30dda99e19bc61;Disponible;Nouvelle-calédonie;inconnu;vecteur;Base de données voies du territoire NC – ouvrages franchissant l'hydrographie;;Données incomplètes hors routes classées.
122;Franchissement du réseau hydrographique des BVAEP (nom à vérifier);DAVAR;;Pas d’accès API;A vérifier;;inconnu;vecteur;Base de données de la DAVAR identifiant les franchissements sur le réseau hydrographique;;Donnée robuste mais reposant sur un modèle, nécessitant une bonne compréhension.
123;"BDLISA-NC - Vulnérabilité intrinsèque des eaux souterraines (gdb)
";DIMENC;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/documents/d7ab36bb69954aea882a63993428357a/about;Disponible;Nouvelle-calédonie;inconnu;vecteur;Base de Données des Limites Aquifères de Nouvelle-Calédonie pour la cartographie et la caractérisation hydrogéologiques des formations à l’échelle du territoire.  Cette donnée traduit la vulnérabilité, elle intègre différentes pressions et caractéristiques physiques et peut servir de synthèse pour évaluer le superficiel et le souterrain.;https://dimenc.gouv.nc/geologie/diffuser-la-connaissance-geologique/latlas-hydrogeologique-de-nouvelle-caledonie-bdlisa-nc;Selon le rapport de production la donnée intègre certaines pressions (MOS). Voir avec la DIMENC pour confirmer.
124;Géologie au 1/200 000e – DIMENC/SGNC-BRGM 1981;DIMENC;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/documents/cbb272c52a0a4725a154d1be059bee17;Disponible;Nouvelle-calédonie;inconnu;Raster;Contours, surfaces, points et arcs structuraux géologiques;;Risque de redondance avec d’autres indicateurs et nécessité de simplification.
125;Géologie au 1/50 000e – DIMENC/SGNC-BRGM 2013;DIMENC;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/documents/cd654cbb5d294cf79317e58727812586;Disponible;Nouvelle-calédonie;inconnu;Raster;Surfaces, contours, points structuraux géologiques et morphologiques;;Redondance avec d’autres indicateurs de disponibilité de la ressource. La BDLISA exploite cette source.
126;Pluviométrie – Stations Météo France;Météo France;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/items/d1636f919647426f88c40548b948d790;Disponible;Nouvelle-calédonie;inconnu;vecteur;Données stations pluviométriques Météo France NC;;Réseau de mesure ponctuel, couverture territoriale partielle.
127;Base de données du sous-sol de NC (BDSSNC) – forages et hydrogéologie;DAVAR;GEOREP;https://georep.nc/node/1323;Disponible;Nouvelle-calédonie;Tous les mois;inconnu;Informations brutes géologiques et techniques des ouvrages souterrains – DIMENC/SGNC;;Croisement de sources nécessaire, avec incertitudes sur la précision spatiale.
128;Typologie de l’habitat;ISEE;ISEE;Sur convention;Disponible;Nouvelle-calédonie;4 ans;vecteur;Exploiter les données de typologie des logements ISEE non publiées sur GéoRep – croiser avec la couche zones bâties de la BDTOPO;;"Dépendance à la qualité et à l'actualisation de la BD TOPO ; l'exhaustivité varie selon les communes, pouvant introduire des biais dans les comparaisons territoriales."
130;Parcelle cadastrale;DITTT;GEOREP;https://cadastre.gouv.nc/;Disponible;Nouvelle-calédonie;Quotidienne ;vecteur;;;Les contours (limites) des parcelles ne sont pas diffusés librement. 
131;PUD des communes de la province SUD;PSUD;PSUD;https://www.province-sud.nc/open/metadonnees/8a8186dd9816d2da019c8d998c9d00b2;Disponible;Nouvelle-calédonie;annuelle;vecteur;Le Plan d’Urbanisme Directeur (PUD) est un document d’urbanisme, qui établit un projet global d’urbanisme et d’aménagement et fixe les règles générales d’utilisation du sol à l’échelle de la commune.;https://www.province-sud.nc/cartosudweb/app/carte/geolocalisation-des-autorisations-d'urbanisme#page-content;Certaines communes n’ont pas de PUD intégrés (ex.YATE)
132;PUD des communes de la province Nord;PNORD;PNORD;Pas d’accès API;A vérifier;Nouvelle-calédonie;annuelle;vecteur;Le Plan d’Urbanisme Directeur (PUD) est un document d’urbanisme, qui établit un projet global d’urbanisme et d’aménagement et fixe les règles générales d’utilisation du sol à l’échelle de la commune.;;
133;Établissements sensibles;;;;;;;;;;
134;Autres IOTA;;;;;;;;;;
