fiche_indicateur;id_indicateur;nom_indicateur;description_indicateur_technique;description_indicateur_utilisateur;actif;Analyse_multicriteres;unite;objectif_INFO;objectif_AMC;modalites;support_spatial;Ponderation;spatialisation_H3;normalisation_methode;sens_indicateur;definition_criticite;quantitatif_qualitatif;discret_continu;relatif_absolu;implantation;representation_cartographique;synthese_echanges-1;synthese_echanges-2
10;11;Statut du foncier;Typologie permet d'identifier le type de propriétaire de la parcelle;"Établit la nature foncière de la parcelle occupée par le prélèvement d'eau, distinguant les terrains publics, privés ou coutumiers. Cet indicateur utilise la ressource ""Parcelle cadastrale"" produite par la DITTT pour identifier le propriétaire du terrain d'implantation.";oui;oui;PRIVE, TERRE COUTUMIERE, COLLECTIVITE, mixte (plusieurs types) ou non renseigné;Informer sur le contexte foncier du captage afin de caractériser les conditions d’accès et de gestion.;Évaluer les contraintes foncières pouvant affecter la gestion de la ressource en eau, certaines situations augmentant la criticité.;Attribution directe au captage, sans transformation.;Captage;Oui;Oui;Catégoriel mappé (1-3);Valeur de classe non ordonnée et donc appliquée arbitrairement;Captage sur terrain privé = forte criticité;Qualitatif;Discrète;Absolu;Zonal;Couleur;;
4;12;Établissements public sensibles;Nombre d’établissements sensible alimentées par la ressource.;Estimation du nombre d'établissements sensibles (hôpitaux, dispensaires, écoles) rattachés à l'unité de distribution alimentés par la ressource. Aucun fournisseur de ces données n’est pour le moment défini et ces données pourraient être issues des inventaires des services publics et des infrastructures prioritaires dépendantes de la ressource en eau. Ces données sont rattaché au Unité de Distribution (voir CDE ou DASS).;oui;oui;Nombre;Informer sur la présence d’établissements sensibles dépendants du captage afin de caractériser les usages prioritaires.;Évaluer l’importance stratégique de la ressource en eau pour les services essentiels, un nombre élevé augmentant la criticité.;Affectation par unité de distribution puis agrégation au captage.;UD;Oui;Non;Classes 3 niveaux;Valeur de classe appliquée arbitrairement;Plus la population est élevée, plus le captage est stratégique → criticité élevée;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Donnée UD issue de la méthode exploité dans le projet pressionPPE. Indicateur clé d’enjeu. Utilisé dans pondération multicritère.;
15;100;Zones UNESCO;Superficie des intersections avec les zones inscrites au patrimoine mondial de l'UNESCO;Mesure la superficie des intersections avec les zones inscrites au patrimoine mondial de l'UNESCO. L'indicateur exploite la couche du CEN décrivant les zones terrestres tampons qui alimentent les zones marines classées au patrimoine mondial.;oui;oui;ha;Informer sur la présence de zones inscrites au patrimoine mondial de l’UNESCO dans le bassin versant afin de caractériser les enjeux environnementaux, patrimoniaux et les opportunités de valorisation et de financement associées.;Évaluer l’effet de la présence de zones UNESCO sur la ressource en eau en termes de préservation du milieu et de potentiel d’accès à des financements internationaux, une forte couverture pouvant réduire la criticité environnementale tout en augmentant l’intérêt stratégique du captage.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Présence d’une partie du bassin versant dans zone UNESCO = criticité faible bien que enjeu fort;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
16;101;Zones protégées provinciales;Superficie des intersections avec parcs, réserves;Mesure la superficie des intersections avec les parcs et réserves provinciales en Nouvelle-Calédonie. La donnée compile les fichiers des Aires Protégées produits par les trois provinces (Sud, Nord, Îles) pour identifier les périmètres de conservation du milieu naturel.;oui;oui;ha;Informer sur la présence de zones protégées provinciales afin de caractériser le niveau de protection environnementale du bassin versant ainsi que les opportunités de gestion et de financement associées.;Évaluer l’effet des dispositifs de protection réglementaire sur la préservation de la ressource en eau et sur le potentiel de mobilisation de financements, une forte présence contribuant à réduire la criticité liée aux pressions et à renforcer l’intérêt stratégique du territoire.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Présence en zone protégée = criticité faible bien que  enjeu fort;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
17;102;KBA / ZICO;Superficie des intersections avec les zones d'intérêt biologique et biodiversité spécifique;"Mesure la superficie des intersections avec les zones d'intérêt biologique et de biodiversité spécifique. Cet indicateur est issu de la ressource ""Zones clés de biodiversité"" du CEN, s'appuyant sur les standards internationaux de l'UICN pour localiser les zones d'intérêt majeur.";oui;oui;ha;Informer sur la présence de zones à forte valeur écologique reconnues internationalement (KBA/ZICO) afin de caractériser les enjeux de biodiversité et les opportunités de financement associées.;Évaluer le rôle de ces zones dans la préservation de la ressource en eau et dans l’accès à des dispositifs de financement environnementaux, une forte présence pouvant réduire la criticité écologique tout en augmentant l’intérêt stratégique du bassin versant.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Présence en KBA/ZICO = criticité faible bien que enjeu fort;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
;103;Espèces menacées;Nombre / présence d'espèces rares ou micro-endémisme;Dénombre la présence d'espèces rares ou le micro-endémisme au sein du bassin versant. Utilisant les inventaires d'Endemia, cet indicateur s'appuie sur la couche des espèces menacées pour identifier la richesse spécifique rare sur le territoire.;non;oui;Nombre;Informer sur la présence et la richesse en espèces menacées afin de caractériser la sensibilité écologique du bassin versant et les opportunités de valorisation environnementale.;Évaluer la contribution de la richesse spécifique menacée à la reconnaissance environnementale du territoire et au potentiel d’accès à des financements dédiés à la conservation, une forte présence traduisant un enjeu élevé et un levier stratégique pour la gestion de la ressource en eau.;Calcul du nombre d’espèce menacé par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Forte richesse en espèces menacées = criticité faible bien que enjeu fort (à confirmer);Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;remplacé par un fusion de source Espèces rares et menacées dont forêt sèche;
18;104;Espèces rares et menacées dont forêt sèche;Superficie des intersections des patchs de forêt sèche additionné aux zones potentielles de présence d’espèces rares et menacées;"Mesure la superficie des intersections des patchs de forêt sèche additionnée aux zones potentielles de présence d’espèces rares et menacées. L'indicateur fusionne les données ""Espèces rares"" d'Endemia et les ""Indices de vulnérabilité de la forêt sèche"" du CEN pour cartographier les écosystèmes fragiles.";oui;oui;ha;Informer sur la présence d’écosystèmes sensibles afin de caractériser les enjeux écologiques du territoire.;Évaluer le rôle des milieux sensibles dans la protection de la ressource en eau, une forte présence réduisant la criticité.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Négatif (absence = critique) ?;Présence de forêt sèche  = criticité faible bien que enjeu fort (à confirmer);Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
13;105;Occupation sol (couvert végétal);Superficie des intersections avec des zones de couvert végétal;Mesure la superficie des intersections avec des zones de couvert végétal. L'indicateur croise le MOS 2014 (OEIL/GOUV) et la ressource Dynamic World (Google) pour fournir une description détaillée des classes de végétation et de leur évolution.;oui;oui;ha;Informer sur la couverture végétale du bassin versant afin de caractériser l’état du milieu.;Évaluer la capacité du milieu à limiter les transferts vers la ressource en eau, une faible couverture augmentant la criticité.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Positif (plus = mieux);Fort couvert végétal = faible criticité;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;;
14;106;Occupation sol (couvert forestier);Superficie des intersections avec des zones de couverture forestière non perturbée et dégradée;"Mesure la superficie des intersections avec des zones de couverture forestière non perturbée et dégradée. La donnée est basée sur la ""Cartographie des surfaces forestières"" (TMF) décrivant l'étendue de la forêt tropicale humide sans distinction des classes dynamiques.";oui;oui;ha;Informer sur la couverture forestière afin de caractériser le niveau de protection naturelle.;Évaluer le rôle protecteur de la forêt sur la ressource en eau, une faible couverture augmentant la criticité.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Positif (plus = mieux);Fort couvert forestier = faible criticité;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;;
19;107;Occupation sol (surfaces agricoles);Superficie des intersections avec des zones agricoles par type (terres arables, agropastorales, pépinières, sylviculture);Mesure la superficie des intersections avec des zones agricoles par type, incluant les terres arables, agropastorales ou la sylviculture. L'indicateur utilise le Mode d'Occupation du Sol (MOS 2014) de l'OEIL et du Gouvernement pour décrire les classes d'emprise humaine.;oui;oui;ha;Informer sur l’emprise agricole du territoire afin de caractériser les usages du sol.;Évaluer les pressions diffuses exercées sur la ressource en eau, une forte emprise agricole augmentant la criticité.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Forte surface agricole = pression potentielle élevée;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;;
30;200;Incendies cumulés;Surface totale touchée par les incendies.;"Mesure la surface totale touchée par les incendies ces dernières années. Cet indicateur exploite la ressource ""Zones potentiellement brûlées"" de l'OEIL, issue des détections quotidiennes des capteurs satellitaires VIIRS depuis 2012.";oui;oui;ha;Informer sur l’historique des incendies afin de caractériser les perturbations du milieu.;Évaluer l’impact des incendies sur la dégradation de la ressource en eau, une forte surface brûlée augmentant la criticité.;Cumul des surfaces brûlées sur une année et agrégation par bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Forte surface brûlée = forte pression → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;cumul surfacique VIIRS, simplement iintégrable en pression environnementale.;
31;201;Surface érosion;Surface des zones où le sol est abîmé ou fragile.;"Identifie la surface des zones où le sol est abîmé ou fragile. L'indicateur s'appuie sur la ""Cartographie des formes érosives"" de l'OEIL décrivant les zones de sols dégradés identifiées par imagerie très haute résolution (Province Sud).";oui;non;ha;Informer sur les zones érodées afin de caractériser la dégradation des sols.;;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Donnée non homogène territoire si utilisation de la donnée « formes érosives » de l’OEIL. Préférence donnée homogène → MOS. Indicateur secondaire.;
32;202;Terrain nu;Surface de terrain sans végétation.;Mesure la superficie de terrain sans végétation intersectant l'aire d'alimentation, en excluant les zones d'exploitations minières. La donnée utilise le MOS 2014 (OEIL/GOUV) ou le flux Dynamic World pour identifier les surfaces minérales ou dévégétalisées.;oui;oui;ha;Informer sur la présence de surfaces dévégétalisées afin de caractériser la dégradation du milieu.;Évaluer les transferts de polluants et sédiments vers la ressource en eau, une forte présence augmentant la criticité.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Indicateur MOS privilégié. Homogène et robuste. Calcul surfacique sur BV.;
34;203;Glissement terrain;Zones exposées aux glissements de terrain.;"Identifie les zones exposées aux glissements de terrain par la répartition des surfaces d'aléa. L'indicateur mobilise la ""Compilation des cartographies d'aléa mouvement de terrain"" de la DIMENC décrivant les niveaux d'aléa de très faible à élevé.";oui;oui;ha;Informer sur les zones à risque de glissement afin de caractériser l’instabilité du terrain.;Évaluer les perturbations potentielles de la ressource en eau liées à l’instabilité des sols.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Carte issue analyse multicritère DIMENC. Déplacé en vulnérabilité ?;
33;204;Espèces exotiques envahissantes (EEE);Présence d´espèces exotiques envahissantes;Estimation de la présence de cerfs et de cochons basée sur le comptage des mâchoires. Cet indicateur se base sur les données de l'ANCB, utilisant les bilans régionalisés par commune et les résultats des campagnes de régularisation de la faune.;oui;oui;?;Informer sur la présence d’espèces envahissantes afin de caractériser les perturbations écologiques.;Évaluer la pression écologique exercée sur la ressource en eau.;Intégration conditionnée à la disponibilité des données, sans méthode définie à ce stade.;BV;Non;Non;Classes 3 niveaux;Négatif (plus = critique);Présence forte = pression écologique élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée incertaine. Source non identifiée. Indicateur non prioritaire.;
20;300;ICPE;Nombre de sites industriels à risque.;Dénombre les sites d'Installations Classées pour la Protection de l'Environnement, incluant les sites industriels, agricoles ou les stations de traitement. L'indicateur compile les bases ICPE de la DIMENC et des provinces Sud, Nord et Îles Loyauté.;oui;oui;Nombre;Informer sur la présence d’activités à risque afin de caractériser les sources potentielles de pollution.;Évaluer les pressions industrielles sur la ressource en eau, une forte densité augmentant la criticité.;Comptage des installations par unité spatiale avec possibilité de typologie.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus d’ICPE = risque pollution → criticité élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Données dispersées (provinces). Besoin typologie ICPE. Difficulté accès + structuration.;
21;301;Zone d’exploitation minière;Surface occupée par les activités minières.;"Mesure la surface occupée par les activités minières, définie par les autorisations d'exploiter ou estimée via le MOS 2014. La donnée est issue de la ressource ""Exploitation minière"" de la DIMENC localisant les centres miniers et usines métallurgiques actifs.";oui;oui;ha;Informer sur l’emprise minière afin de caractériser les activités extractives.;Évaluer les pressions fortes sur la ressource en eau, une emprise élevée augmentant la criticité.;Calcul des surfaces d’emprise puis agrégation par bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Surface minière élevée = pression forte → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Donnée DIMENC non publique. Alternative via MOS (redondance sol nu). Accès incertain.;
23;302;Urbanisation;Nombre de bâtiments présents.;"Dénombre les bâtiments présents sur l'aire d'alimentation de la ressource en eau. Utilisant la ressource ""Localités et zones bâties"" de la DITTT, cet indicateur s'appuie sur la couche géographique des villes, lieux-dits et tribus au 1/50 000e.";oui;oui;Nombre;Informer sur la présence de zones urbanisées afin de caractériser l’occupation du sol.;Évaluer l’artificialisation et ses impacts sur la ressource en eau.;Comptage des bâtiments par unité spatiale puis agrégation.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de bâti = pression → criticité élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée BD TOPO. Indicateur pression anthropique. Possibilité typologie bâtis.;
24;304;Habitations;Nombre de logements.;"Dénombre le nombre de logements (résidences principales et secondaires) sur l'aire d'alimentation. L'indicateur exploite la ""Typologie de l'habitat"" de l'ISEE, issue du croisement entre le recensement et les zones bâties de la BDTOPO.";oui;oui;Nombre;Informer sur la densité d’habitat afin de caractériser les pressions humaines.;Évaluer la pression liée à la densité humaine sur la ressource en eau.;Comptage ou estimation des logements par unité spatiale.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Densité humaine = pression accrue;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée ISEE. Complément du bâti. Peut rester séparé ou fusionné selon usage.;
25;305;Franchissements;Nombre d'ouvrages croisant le réseau hydrographique;"Dénombre les ouvrages de franchissement (ponts, radiers) situés sur l'aire d'alimentation, chaque pont, buse ou gué est un point où une pollution routière (hydrocarbures, transport de matières dangereuses) peut entrer directement dans le cours d'eau en amont d'un captage. La donnée croise le ""Réseau routier"" de la DITTT et les inventaires de la DAVAR pour identifier les points de contact avec le réseau hydrographique.";oui;oui;Nombre;Informer sur la présence d’ouvrages de franchissement afin de caractériser les points de contact avec le réseau hydrographique.;Évaluer les points de vulnérabilité pouvant impacter la ressource en eau.;Comptage des intersections entre les ouvrages linéaires (routes, pistes) et le réseau hydrographique.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Nombre élevé de franchissements = pression sur continuité écologique;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;;
26;306;Linéaire routes;Distance de linéaire total de voiries par type (RT, RP, Piste);"Mesure le linéaire total de voiries par type (RT, RP, RC, pistes) intersectant l'aire d'alimentation. Cet indicateur est basé sur la ressource ""BDROUTE-NC"" de la DITTT décrivant l'ensemble des voies de transport du territoire.";oui;oui;km;Informer sur le réseau routier afin de caractériser les infrastructures de transport.;Évaluer les pressions liées aux infrastructures sur la ressource en eau.;Calcul de la longueur de voiries par maille, ventilé par type.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Fort linéaire routier = fragmentation et imperméabilisation élevées;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
27;307;Plan d’Urbanisme Directeur;Superficie des intersections avec des zones de type d’occupation et des dynamiques d’aménagement du territoire (zones urbanisées, à urbaniser, naturelles, zones à enjeux, terrain agricole constructible ou non);Mesure la superficie des intersections avec les zones de type d’occupation et les dynamiques d’aménagement futur (zones urbaines, agricoles, naturelles). L'indicateur s'appuie sur les PUD communaux gérés par les provinces définissant les règles d'utilisation du sol.;oui;non;ha;Informer sur les dynamiques d’aménagement du territoire afin de caractériser les évolutions futures.;;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;;;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
22;308;Autres IOTA;"Nombre d’autres installation, ouvrages, travaux ou activités pouvant potentiellement affecter la qualité ou la quantité de la ressource en eau.
";Dénombre les installations, ouvrages ou activités (cultures hors sols, dépotoirs) potentiellement impactants mais non soumis à autorisation classique. Cet indicateur utilise les inventaires techniques de terrain pour identifier les pratiques non référencées par ailleurs.;oui;oui;Nombre;Informer sur la présence d’activités non réglementées afin de caractériser les pressions diffuses.;Évaluer les pressions non contrôlées sur la ressource en eau.;Comptage des installations par unité spatiale puis agrégation.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus IOATA = risque pollution → criticité élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;;
