table;attribut;libelle_affiche;description;rôle;glossaire;affichage;valeur
indicateurs;Ponderation;Pondération multicritère;Indique si l'indicateur est activement utilisé pour l’analyse multicritère.;Calcul multicritère;oui;tableau;
indicateurs;spatialisation_H3;Spatialisation H3;Indique si la donnée est projetée sur une maille hexagonale fine (H3) pour permettre des analyses géographiques croisées.;Technique;oui;tableau;
indicateurs;normalisation_methode;Méthode de normalisation;Processus mathématique ou métier (quantiles, seuils, binaire) utilisé pour ramener des données hétérogènes sur une échelle de criticité commune.;Calcul multicritère;oui;section;
indicateurs;sens_indicateur;Sens de l’indicateur;"Orientation statistique ou logique de la donnée. 
- Pour une donnée quantitative :  indique si une valeur élevée est bénéfique (Positif, ex: capacité de production) ou préjudiciable (Négatif, ex: surface incendiée).
- Pour une donnée qualitative : indique si l'état ou la classe de l'indicateur est perçu comme favorable (Positif, ex: présence d'un traitement ou d'un secours) ou défavorable (Négatif, ex: absence de protection réglementaire) pour la gestion du captage";Calcul multicritère;oui;section;Positif / Négatif / Neutre
indicateurs;definition_criticite;Définition de la criticité;Traduction opérationnelle de la valeur : explique le lien de cause à effet entre la donnée et le niveau de risque ou d'enjeu pour le territoire.;Calcul multicritère;oui;section;
indicateurs;quantitatif_qualitatif;Nature des données;Distingue les données Quantitatives (chiffrées) des données Qualitatives (textuelles ou catégories).;Technique;oui;visualisation;Quantitatif / Qualitatif
indicateurs;discret_continu;Discret ou continu;Nature mathématique des valeurs : Discret (nombres entiers, catégories) ou Continu (échelles de mesure fluides).;Technique;oui;visualisation;Continue / Discrète
indicateurs;relatif_absolu;Relatif ou absolu;Type de mesure : Absolu pour une valeur brute (ex: volume) ou Relatif pour un ratio ou un pourcentage (ex: densité).;Technique;oui;visualisation;Absolu / Relatif
indicateurs;implantation;implantation;Mode de représentation géométrique sur la carte : Ponctuelle (position précise) ou Zonale (surface).;Technique;oui;visualisation;Ponctuelle / zonale
indicateurs;representation_cartographique;Représentation cartographique;Style visuel de restitution (ex: carte choroplèthe, cercles proportionnels, couleur ou symbole).;Restitution;oui;visualisation;carte choroplèthe, cercle proportionnel, couleur, symbole
indicateurs;synthese_echanges-1;Synthèse échanges Stéphane du 24 avril 2026;Résumé des décisions et arbitrages;Pilotage;non;;
indicateurs;synthese_echanges-2;Synthèse échanges de la réunion de présentation avec la DASS DIMENC et DAVAR le 21 Mai 2026;Résumé des décisions et arbitrages;Pilotage;non;;
sources;id_ressource;Identifiant de la ressource;Identifiant unique de la ressource dans le cadre du projet Hydroscope;identification;oui;tableau;"1–99 → Données AEP métiers
Au delà de 100 → Toutes les autres sources de données"
sources;nom_ressource;Nom de la ressource;Nom de la ressource;identification;non;tableau;
sources;description_ressource;Description;Description de la ressource;Dynamique temporelle;non;section;
sources;origine;Origine;Organisme ou service producteur initial de la donnée brute (ex: DAVAR, DASS, Météo France).;Documentation;oui;tableau;
sources;distributeur;Distributeur;Entité ou plateforme assurant la mise à disposition technique de la donnée (ex: GéoRep).;Documentation;oui;tableau;
sources;url;URL;Lien direct vers la ressource en ligne ou sa fiche de métadonnées détaillée.;Documentation;oui;tableau;
sources;statut_disponibilite;Disponibilité;Statut d'accès à la source : Disponible (public), Interne (administration) ou À vérifier (sous convention).;Pilotage;oui;section;Disponible / Interne / A vérifier
sources;couverture_spatiale;Couverture spatiale;Désigne l'étendue géographique ou l'emprise territoriale sur laquelle la donnée source est disponible et valide. Cet attribut permet à l'utilisateur de savoir si l'indicateur est calculé sur l'ensemble de la Nouvelle-Calédonie, sur une province spécifique (ex: Province Sud) ou uniquement sur un périmètre restreint;Pilotage;oui;section;Nouvelle-Calédonie / provinces / communes … 
sources;actualisation;Période d actualisation;Fréquence de mise à jour de la donnée par le producteur (ex: quotidienne, annuelle, jamais).;Dynamique temporelle;oui;tableau;"inconnu / jamais / x jours / x années
"
sources;type_source;Type de source;Format technique du fichier de données (Vecteur, Raster, Table).;Technique;oui;tableau;vecteur, raster, table, rapport, infographie
sources;contraintes_ressource;Point de vigilance;Identification des limites techniques, incertitudes de mesure ou biais d'interprétation liés à la source.;Pilotage;oui;section;
