EPIC;ID User Story;Libellé User Story;MVP;Front_or_Back;Module;Dépend de (Parent);Type fonctionnel;Pilier(s);Profil utilisateur;Phrase méthode agile;Besoins testables
EPIC 1bis – Catalogage des données;US1bis.7;Visualiser les relations entre indicateur et données sources;True;Front-end;Gestion des données & catalogue;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux visualiser les relations entre un indicateur et ses données sources afin d'en comprendre la provenance.;"Étant donné un indicateur dérivé, Quand l'utilisateur ouvre sa page de relations, Alors il voit un graphe reliant l'indicateur à ses données sources et aux traitements intermédiaires. - Quand l'utilisateur clique sur un nœud du graphe (jeu de données source, traitement), Alors les métadonnées correspondantes sont affichées.
Étant donné un indicateur calculé sur des données historisées, Quand le graphe est affiché, Alors la version ou la période des données utilisées pour le calcul courant est précisée.
Étant donné un indicateur sans dépendance déclarée, Quand la page est ouverte, Alors un message indique l'absence de relations tracées plutôt qu'un graphe vide. - Quand l'indicateur est recalculé sur de nouvelles données, Alors le graphe reflète les relations de la version de calcul la plus récente."
EPIC 1bis – Catalogage des données;US1bis.8;Tracer les transformations appliquées à un jeu de données;False;Backend;Gestion des données & catalogue;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux tracer les transformations appliquées à un jeu de données afin d'en garantir la reproductibilité.;
EPIC 1bis – Catalogage des données;US1bis.9;Identifier une donnée comme source ou dérivée;False;Backend;Gestion des données & catalogue;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux identifier une donnée comme source ou dérivée afin de clarifier sa place dans la chaîne.;
EPIC 1bis – Catalogage des données;US1bis.10;Alimenter automatiquement le catalogue lors des imports;True;Backend;Gestion des données & catalogue;"US1.1 ; US1bis.1";Acquisition;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux alimenter automatiquement le catalogue lors des imports afin d'éviter les saisies manuelles.;"Étant donné un import de fichier réussi, Quand le traitement se termine, Alors une entrée de catalogue est créée ou mise à jour automatiquement, sans saisie manuelle.
Étant donné un jeu de données déjà catalogué, Quand un import le met à jour, Alors sa fiche de catalogue est actualisée (date de mise à jour, version courante) sans création de doublon.
Étant donné un import en échec, Quand le traitement se termine, Alors aucune entrée de catalogue n'est créée, Et l'événement est tracé. - Quand une entrée est créée automatiquement, Alors les métadonnées minimales (nom, fournisseur, date de mise à jour) sont déduites de l'import et marquées « générées automatiquement ».
Étant donné un import sans identifiant de jeu identifiable, Quand l'alimentation du catalogue est tentée, Alors l'import est signalé en échec partiel avec le motif."
EPIC 1bis – Catalogage des données;US1bis.11;Relier un jeu de données à un traitement (ex : dbt);False;Backend;Gestion des données & catalogue;US1bis.8;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux relier un jeu de données à un traitement afin d'en retracer l'élaboration.;
EPIC 1bis – Catalogage des données;US1bis.12;Enregistrer un indicateur comme donnée dérivée;True;Front-end;Gestion des données & catalogue;US3.5;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux enregistrer un indicateur comme donnée dérivée afin qu'il soit identifié comme tel dans le catalogue.;"Étant donné un indicateur défini dans le référentiel (US3.5), Quand il est enregistré dans le catalogue, Alors il apparaît avec le type « donnée dérivée », distinct des données sources. - Quand la fiche de l'indicateur est consultée, Alors elle indique qu'il s'agit d'une donnée dérivée et renvoie vers sa définition et sa méthode de calcul.
Étant donné un enregistrement sans lien vers une donnée source ou un traitement, Quand il est tenté, Alors il est refusé : tout indicateur dérivé référence au moins une donnée source ou un traitement.
Étant donné un indicateur non défini dans le référentiel, Quand l'administrateur tente de l'enregistrer, Alors l'enregistrement est refusé avec un message renvoyant vers la définition de l'indicateur (US3.5). - Quand un indicateur dérivé est recalculé, Alors la version cataloguée est mise à jour, Et la traçabilité du calcul (date, version de la méthode, données utilisées) est conservée. ### EPIC 2 — Qualité des données"
EPIC 1bis – Catalogage des données;US1bis.13;Consulter les métadonnées d'un indicateur;False;Front-end;Gestion des données & catalogue;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux consulter les métadonnées d'un indicateur afin d'en vérifier la définition et la méthode.;
EPIC 1bis – Catalogage des données;US1bis.14;Ajouter un nouveau jeu de données sans modifier la structure;False;Backend;Gestion des données & catalogue;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux ajouter un nouveau jeu de données sans modifier la structure afin d'étendre le catalogue à moindre coût.;
EPIC 1bis – Catalogage des données;US1bis.15;Historiser les modifications des métadonnées;False;Backend;Gestion des données & catalogue;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux historiser les modifications des métadonnées afin de tracer les évolutions du catalogue.;
EPIC 2 – Qualité des données;US2.1;Détecter des valeurs aberrantes;True;Backend;Suivi qualité & traçabilité;;Qualification;Pilier 1 – Connaissance & Caractérisation (fondement);Administrateur expert data;En tant qu'administrateur expert data, je veux détecter des valeurs aberrantes afin d'identifier les données à corriger.;"Étant donné un jeu de données avec des règles de contrôle définies (bornes min/max, plages attendues), Quand une valeur sort de la plage attendue, Alors l'anomalie est détectée et enregistrée avec le jeu de données, la ligne, la valeur et la règle violée. - Quand la détection est exécutée, Alors un rapport liste les valeurs aberrantes avec leur motif, sans modifier les données d'origine.
Étant donné une valeur aberrante détectée et validée comme erronée par l'administrateur, Alors elle est exclue des traitements ou marquée non fiable, tout en restant disponible dans l'historique.
Étant donné une valeur signalée à tort (faux positif), Quand l'administrateur la blanchit, Alors le motif du blanchiment est documenté et tracé.
Étant donné un jeu sans règles de détection configurées, Quand le contrôle est exécuté, Alors aucune valeur aberrante n'est signalée et le jeu est qualifié « non contrôlé »."
EPIC 2 – Qualité des données;US2.2;Vérifier cohérence temporelle;False;Backend;Suivi qualité & traçabilité;;Qualification;Pilier 1 – Connaissance & Caractérisation (fondement);Administrateur expert data;En tant qu'administrateur expert data, je veux vérifier la cohérence temporelle afin de détecter les incohérences de dates.;
EPIC 2 – Qualité des données;US2.3;Vérifier cohérence spatiale;False;Backend;Suivi qualité & traçabilité;;Qualification;Pilier 1 – Connaissance & Caractérisation (fondement);Administrateur expert data;En tant qu'administrateur expert data, je veux vérifier la cohérence spatiale afin de détecter les incohérences géographiques.;
EPIC 2 – Qualité des données;US2.4;Calculer un taux de complétude;True;Backend;Suivi qualité & traçabilité;;Qualification;Pilier 1 – Connaissance & Caractérisation (fondement);Administrateur expert data;En tant qu'administrateur expert data, je veux calculer un taux de complétude afin de mesurer la couverture des données.;"Étant donné un jeu de données avec des champs obligatoires définis, Quand le taux de complétude est calculé, Alors il correspond au pourcentage de valeurs renseignées sur les valeurs attendues, par champ et par jeu, Et le résultat est stocké comme métadonnée de qualité. - Quand un taux est calculé, Alors la période et la version du jeu de données utilisées pour le calcul sont précisées.
Étant donné un seuil de complétude configuré (par défaut 95 %), Quand le taux calculé est inférieur au seuil, Alors le jeu est marqué comme sous le seuil, Et l'information est reportée sur sa fiche qualité. - Quand un jeu est mis à jour (nouvel import, corrections), Alors le taux est recalculé sur la dernière version, sans perte des taux historiques. - Quand le taux de complétude d'un jeu sert au calcul d'un indicateur (EPIC 4), Alors il est exploitable de façon automatisée (filtrage ou marquage du résultat)."
EPIC 2 – Qualité des données;US2.5;Qualifier la fiabilité;True;Backend;Suivi qualité & traçabilité;;Qualification;Pilier 1 – Connaissance & Caractérisation (fondement);Administrateur expert data;En tant qu'administrateur expert data, je veux qualifier la fiabilité afin d'évaluer la confiance à accorder aux données.;"Étant donné les critères de fiabilité définis (source, méthode de production, complétude, fréquence de mise à jour), Quand la fiabilité d'un jeu de données est évaluée, Alors une classe de fiabilité (élevée, moyenne, faible) lui est attribuée selon des règles documentées. - Quand une classe de fiabilité est attribuée, Alors la règle et les critères utilisés sont tracés.
Étant donné un jeu dont la qualité évolue (nouvel import, corrections), Quand la fiabilité est réévaluée, Alors la classe est recalculée, Et l'évolution est conservée dans l'historique des indicateurs de qualité.
Étant donné un jeu sans métadonnées de qualité renseignées, Quand l'évaluation est demandée, Alors aucune classe n'est attribuée : le jeu est qualifié « fiabilité non évaluée » (pas de note par défaut trompeuse). - Quand une classe de fiabilité est disponible, Alors elle est exploitable par les traitements ultérieurs (filtrage, affichage différencié)."
EPIC 2 – Qualité des données;US2.6;Associer des métadonnées;True;Front-end;Suivi qualité & traçabilité;;Qualification;Pilier 1 – Connaissance & Caractérisation (fondement);Administrateur expert data;En tant qu'administrateur expert data, je veux associer des métadonnées de qualité afin de documenter les contrôles effectués.;"Étant donné un jeu de données contrôlé, Quand l'administrateur associe des métadonnées de qualité, Alors il renseigne : date du dernier contrôle, règles appliquées, résultats (anomalies, taux de complétude, fiabilité) et statut de validation. - Quand des métadonnées de qualité sont enregistrées, Alors elles sont visibles sur la fiche qualité du jeu de données.
Étant donné un contrôle automatique, Quand il s'exécute, Alors ses résultats alimentent les métadonnées de qualité sans saisie manuelle, Et l'horodatage du contrôle est tracé.
Étant donné un jeu de données non intégré dans la plateforme, Quand l'administrateur tente d'ajouter des métadonnées de qualité, Alors l'opération est refusée avec un message explicite. - Quand l'administrateur consulte la fiche qualité, Alors il voit un résumé : date du dernier contrôle, classe de fiabilité, taux de complétude, nombre d'anomalies ouvertes. ### EPIC 3 — Référentiels"
EPIC 2 – Qualité des données;US2.7;Visualiser la qualité;False;Front-end;Suivi qualité & traçabilité;;Qualification;Pilier 1 – Connaissance & Caractérisation (fondement);Administrateur expert data;En tant qu'administrateur expert data, je veux visualiser la qualité afin de repérer les jeux de données fiables.;
EPIC 3 – Référentiels;US3.1;Gérer les bassins versants;True;Front-end;Administration & profils;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux gérer les bassins versants afin de maintenir le référentiel à jour.;"Étant donné le référentiel des BVAEP, Quand l'administrateur crée un bassin versant d'alimentation en eau potable, Alors il renseigne au minimum : identifiant, nom, géométrie, communes et captages rattachés, Et le BVAEP devient utilisable dans les agrégations et sur la carte. - Quand l'administrateur modifie la géométrie ou le périmètre d'un BVAEP, Alors la modification est enregistrée avec sa date, Et les données historiques restent rattachées à l'ancien périmètre (cohérence temporelle).
Étant donné un identifiant de BVAEP déjà utilisé ou une géométrie invalide, Quand la création ou la modification est tentée, Alors elle est refusée avec un message explicite. - Quand l'administrateur consulte la liste des BVAEP, Alors il voit l'identifiant, le nom, les communes et le nombre de captages rattachés.
Étant donné un BVAEP auquel des données ou des captages sont rattachés, Quand l'administrateur tente de le supprimer, Alors la suppression est refusée tant qu'aucun réaffectement explicite n'a été effectué."
EPIC 3 – Référentiels;US3.2;Gérer les captages;True;Front-end;Administration & profils;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux gérer les captages afin de maintenir le référentiel à jour.;"Étant donné le référentiel des captages, Quand l'administrateur crée un captage, Alors il renseigne au minimum : identifiant, nom, commune, coordonnées et BVAEP de rattachement, Et le captage apparaît dans le référentiel et sur la carte. - Quand un captage est rattaché à un BVAEP, Alors la cohérence du rattachement est vérifiée (position dans le bassin ou rattachement explicite justifié), Et toute incohérence est signalée. - Quand l'administrateur modifie un captage (localisation, rattachement, statut), Alors la version précédente est conservée pour la reconstitution historique. - Quand la fiche du captage est consultée, Alors elle affiche ses données de qualité (EPIC 2) et les périmètres de protection (PPE) associés s'ils sont renseignés.
Étant donné un identifiant de captage déjà utilisé, Quand la création est tentée, Alors elle est refusée avec un message explicite."
EPIC 3 – Référentiels;US3.3;Gérer périmètres de protection;False;Front-end;Administration & profils;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux gérer les périmètres de protection afin de les représenter sur la carte.;
EPIC 3 – Référentiels;US3.4;Gérer la maille H3;True;Front-end;Administration & profils;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux gérer la maille H3 afin de garantir la cohérence des agrégations.;"Étant donné le référentiel de la maille H3, Quand l'administrateur définit les résolutions utilisées par la plateforme, Alors la configuration est enregistrée et documentée, Et elle sert de référence aux agrégations. - Quand l'administrateur consulte la maille, Alors il voit la grille H3 superposée à la carte avec ses cellules identifiées.
Étant donné des objets du référentiel (captages, BVAEP, communes), Quand leur rattachement à la maille H3 est calculé, Alors chaque objet est associé aux cellules qu'il intersecte, Et le résultat est tracé pour garantir la cohérence des agrégations.
Étant donné une modification de la résolution configurée, Quand elle est enregistrée, Alors les agrégations existantes restent reproductibles et les données historiques ne sont pas altérées.
Étant donné une résolution non supportée, Quand l'administrateur tente de la configurer, Alors l'opération est refusée avec la liste des résolutions disponibles."
EPIC 3 – Référentiels;US3.5;Définir un indicateur;True;Front-end;Administration & profils;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux définir un indicateur afin de le rendre calculable et affichable.;"Étant donné le référentiel des indicateurs, Quand l'administrateur définit un indicateur, Alors il renseigne au minimum : nom, description, finalité, unité, échelle spatiale (captage, BVAEP, maille H3) et temporelle, méthode de calcul et liens vers les données sources ; l'enregistrement est refusé tant que ces éléments sont manquants. - Quand l'indicateur est enregistré, Alors il devient calculable par le moteur (EPIC 4), affichable dans le catalogue et exploitable par la carte. - Quand l'administrateur modifie la méthode de calcul d'un indicateur, Alors une nouvelle version de la définition est créée, Et les versions antérieures restent consultables.
Étant donné un indicateur avec des seuils, Quand ils sont définis, Alors ils sont enregistrés avec l'indicateur et disponibles pour la qualification des valeurs.
Étant donné un indicateur déjà défini sous le même nom ou le même identifiant, Quand la définition est tentée, Alors elle est refusée avec un message explicite. ### EPIC 4 — Calcul d'indicateurs"
EPIC 3 – Référentiels;US3.6;Gérer les profils utilisateurs;False;Front-end;Administration & profils;;Gouvernance;Transverse (socle);Administrateur plateforme;En tant qu'administrateur plateforme, je veux gérer les profils utilisateurs et leurs droits afin de contrôler les accès à la plateforme.;
EPIC 3 – Référentiels;US3.7;Versionner les référentiels;False;Backend;Administration & profils;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux versionner les référentiels afin de conserver l'historique de leurs évolutions.;
EPIC 4 – Calcul d'indicateurs;US4.1;Calculer des indicateurs simples;True;Backend;Gestion des données & catalogue;"US3.5 ; US4.7 ; US1bis.12";Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Administrateur expert data;En tant qu'administrateur expert data, je veux calculer des indicateurs simples afin de produire des valeurs fiables.;"Étant donné un indicateur défini (US3.5) et ses données sources cataloguées et qualifiées, Quand le calcul est exécuté, Alors les valeurs produites respectent la méthode définie (moyenne, médiane, somme, fréquence, occurrence), Et le résultat est stocké avec la date de calcul, la version de la définition et les versions des données utilisées.
Étant donné un calcul reposant sur des données manquantes ou sous le seuil de complétude, Quand le résultat est produit, Alors il est marqué « non fiable » ou non calculé selon les règles de l'indicateur.
Étant donné un calcul en échec, Quand il se termine, Alors aucune valeur n'est publiée, Et l'échec est tracé avec son motif. - Quand le calcul est relancé après correction des données, Alors le résultat est recalculé et la nouvelle exécution est tracée (reproductibilité).
Étant donné un indicateur sans méthode complète ou sans données sources, Quand le calcul est demandé, Alors il est refusé avec un message explicite."
EPIC 4 – Calcul d'indicateurs;US4.2;Agréger à l'échelle BV;True;Backend;Gestion des données & catalogue;"US3.1 ; US4.1";Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Administrateur expert data;En tant qu'administrateur expert data, je veux agréger à l'échelle du bassin versant afin de disposer de valeurs synthétiques.;"Étant donné des valeurs à l'échelle captage ou maille H3, Quand l'agrégation à l'échelle du BVAEP est exécutée, Alors une valeur synthétique est produite pour chaque bassin versant selon la règle d'agrégation définie (somme, moyenne, moyenne pondérée), Et la règle utilisée est tracée. - Quand le résultat d'agrégation est produit, Alors il est accompagné de la liste des captages pris en compte et du taux de complétude associé.
Étant donné un captage non rattaché à un BVAEP, Quand l'agrégation est exécutée, Alors il est exclu du calcul et signalé dans les anomalies.
Étant donné une évolution du périmètre d'un BVAEP, Quand l'agrégation est exécutée sur une période passée, Alors elle utilise la version du périmètre applicable à cette période (cohérence historique).
Étant donné un indicateur sans règle d'agrégation spatiale définie, Quand l'agrégation à l'échelle BV est demandée, Alors elle est refusée avec un message explicite."
EPIC 4 – Calcul d'indicateurs;US4.3;Agrégation temporelle;True;Backend;Gestion des données & catalogue;"US1.6 ; US4.1 ; US6.24";Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Administrateur expert data;En tant qu'administrateur expert data, je veux agréger les données dans le temps afin de produire des séries comparables.;"Étant donné des données historisées (US1.6), Quand l'agrégation temporelle (mensuelle, annuelle, pluriannuelle) est exécutée, Alors les séries consolidées sont produites sur les périodes demandées, Et les données sous-jacentes restent disponibles.
Étant donné une période contenant des données manquantes, Quand le résultat est produit, Alors le taux de couverture de la période est indiqué, Et le résultat est marqué si le seuil de complétude n'est pas atteint. - Quand la même agrégation est relancée sur la même période et les mêmes données, Alors le résultat est identique (reproductibilité des calculs).
Étant donné une période demandée dépassant l'historique disponible, Quand l'agrégation est exécutée, Alors elle est limitée à l'historique existant et l'écart est signalé, ou refusée si aucune donnée ne couvre la période. - Quand un indicateur est produit à plusieurs granularités temporelles, Alors le périmètre de calcul (données incluses, période couverte) est documenté pour garantir la comparabilité des séries."
EPIC 4 – Calcul d'indicateurs;US4.4;Paramétrer un calcul;False;Backend;Gestion des données & catalogue;;Exploitation;Pilier 2 – Diagnostic & Analyse multicritère (+ Pilier 3);Administrateur expert data;En tant qu'administrateur expert data, je veux paramétrer un calcul afin d'ajuster les règles de production de l'indicateur.;
